sample_id	MAGs(HQ&MQ)	uMAGs	kMAGs	studys	country	oral_site
YS001049	6	0	6	Yunnan	China	saliva
YS000313	6	0	6	Yunnan	China	saliva
RDPYD18189946	5	1	4	4D_SZ	China	saliva
RSZYD18078073	4	1	3	4D_SZ	China	saliva
ERR2764838	5	1	4	ZellerG_2014	Germany	saliva
RSZYD18078519	14	2	12	4D_SZ	China	saliva
RSZYD18187940	4	0	4	4D_SZ	China	saliva
RSZYD18187432	19	1	18	4D_SZ	China	saliva
YS000006	2	0	2	Yunnan	China	saliva
RSZYD18078758	16	3	13	4D_SZ	China	saliva
RDPYD18089351	13	1	12	4D_SZ	China	tongue
YS000364	18	2	16	Yunnan	China	saliva
SRR6748024	1	0	1	GoltsmanDSA_2018	USA	saliva
YS000122	4	0	4	Yunnan	China	saliva
ERR589632	32	4	28	ZhangX_2015	China	dental
RSZYD18078349	5	1	4	4D_SZ	China	saliva
RDPYD18300309	21	3	18	4D_SZ	China	saliva
RSZYD18187477	2	0	2	4D_SZ	China	saliva
YS000945	3	2	1	Yunnan	China	saliva
SRR6748227	12	1	11	GoltsmanDSA_2018	USA	saliva
RSZYD18187275	27	3	24	4D_SZ	China	saliva
RSZYD18187174	22	4	18	4D_SZ	China	saliva
RSZYD18078632	7	0	7	4D_SZ	China	saliva
RSZYD18078103	32	5	27	4D_SZ	China	saliva
RSZYD18187915	30	7	23	4D_SZ	China	saliva
RDPYD18088780	14	3	11	4D_SZ	China	saliva
RSZYD18187974	18	2	16	4D_SZ	China	saliva
YS000895	14	2	12	Yunnan	China	saliva
RDPYD18075166	16	3	13	4D_SZ	China	saliva
RSZYD18078526	8	2	6	4D_SZ	China	saliva
RSZYD18187054	15	3	12	4D_SZ	China	saliva
RDPYD18300056	1	0	1	4D_SZ	China	saliva
SRR6748222	7	0	7	GoltsmanDSA_2018	USA	saliva
RSZYD18078274	8	1	7	4D_SZ	China	saliva
RSZYD18187564	14	3	11	4D_SZ	China	saliva
RDPYD18088990	14	1	13	4D_SZ	China	saliva
RDPYD18300124	6	2	4	4D_SZ	China	saliva
RDPYD18079683	29	2	27	4D_SZ	China	tongue
RDPYD18089286	31	7	24	4D_SZ	China	tongue
