SGB_id type
SGB_1 kSGB
SGB_2 kSGB
SGB_3 kSGB
SGB_4 kSGB
SGB_5 kSGB
SGB_6 kSGB
SGB_7 kSGB
SGB_8 kSGB
SGB_9 kSGB
SGB_10 kSGB
SGB_11 kSGB
SGB_12 kSGB
SGB_13 kSGB
SGB_14 kSGB
SGB_15 kSGB
SGB_16 kSGB
SGB_17 kSGB
SGB_18 kSGB
SGB_19 kSGB
SGB_20 kSGB
SGB_21 kSGB
SGB_22 kSGB
SGB_23 kSGB
SGB_24 kSGB
SGB_25 kSGB
SGB_26 kSGB
SGB_27 kSGB
SGB_28 kSGB
SGB_29 kSGB
SGB_30 kSGB
SGB_31 kSGB
SGB_32 kSGB
SGB_33 kSGB
SGB_34 kSGB
SGB_35 kSGB
SGB_36 kSGB
SGB_37 kSGB
SGB_38 kSGB
SGB_39 kSGB
SGB_40 kSGB
SGB_41 kSGB
SGB_42 kSGB
SGB_43 kSGB
SGB_44 kSGB
SGB_45 kSGB
SGB_46 kSGB
SGB_47 kSGB
SGB_48 kSGB
SGB_49 kSGB
SGB_50 kSGB
SGB_51 kSGB
SGB_52 kSGB
SGB_53 kSGB
SGB_54 kSGB
SGB_55 kSGB
SGB_56 kSGB
SGB_57 kSGB
SGB_58 kSGB
SGB_59 kSGB
SGB_60 kSGB
SGB_61 kSGB
SGB_62 kSGB
SGB_63 kSGB
SGB_64 kSGB
SGB_65 kSGB
SGB_66 kSGB
SGB_67 kSGB
SGB_68 kSGB
SGB_69 kSGB
SGB_70 kSGB
SGB_71 kSGB
SGB_72 kSGB
SGB_73 kSGB
SGB_74 kSGB
SGB_75 kSGB
SGB_76 kSGB
SGB_77 kSGB
SGB_78 kSGB
SGB_79 kSGB
SGB_80 kSGB
SGB_81 kSGB
SGB_82 kSGB
SGB_83 kSGB
SGB_84 kSGB
SGB_85 kSGB
SGB_86 kSGB
SGB_87 kSGB
SGB_88 kSGB
SGB_89 kSGB
SGB_90 kSGB
SGB_91 kSGB
SGB_92 kSGB
SGB_93 kSGB
SGB_94 kSGB
SGB_95 kSGB
SGB_96 kSGB
SGB_97 kSGB
SGB_98 kSGB
SGB_99 kSGB
SGB_100 kSGB
SGB_101 kSGB
SGB_102 kSGB
SGB_103 kSGB
SGB_104 kSGB
SGB_105 kSGB
SGB_106 kSGB
SGB_107 kSGB
SGB_108 kSGB
SGB_109 kSGB
SGB_110 kSGB
SGB_111 kSGB
SGB_112 kSGB
SGB_113 kSGB
SGB_114 kSGB
SGB_115 kSGB
SGB_116 kSGB
SGB_117 kSGB
SGB_118 kSGB
SGB_119 kSGB
SGB_120 kSGB
SGB_121 kSGB
SGB_122 kSGB
SGB_123 kSGB
SGB_124 kSGB
SGB_125 kSGB
SGB_126 kSGB
SGB_127 kSGB
SGB_128 kSGB
SGB_129 kSGB
SGB_130 kSGB
SGB_131 kSGB
SGB_132 kSGB
SGB_133 kSGB
SGB_134 kSGB
SGB_135 kSGB
SGB_136 kSGB
SGB_137 kSGB
SGB_138 kSGB
SGB_139 kSGB
SGB_140 kSGB
SGB_141 kSGB
SGB_142 kSGB
SGB_143 kSGB
SGB_144 kSGB
SGB_145 kSGB
SGB_146 kSGB
SGB_147 kSGB
SGB_148 kSGB
SGB_149 kSGB
SGB_150 kSGB
SGB_151 kSGB
SGB_152 kSGB
SGB_153 kSGB
SGB_154 kSGB
SGB_155 kSGB
SGB_156 kSGB
SGB_157 kSGB
SGB_158 kSGB
SGB_159 kSGB
SGB_160 kSGB
SGB_161 kSGB
SGB_162 kSGB
SGB_163 kSGB
SGB_164 kSGB
SGB_165 kSGB
SGB_166 kSGB
SGB_167 kSGB
SGB_168 kSGB
SGB_169 kSGB
SGB_170 kSGB
SGB_171 kSGB
SGB_172 kSGB
SGB_173 kSGB
SGB_174 kSGB
SGB_175 kSGB
SGB_176 kSGB
SGB_177 kSGB
SGB_178 kSGB
SGB_179 kSGB
SGB_180 kSGB
SGB_181 kSGB
SGB_182 kSGB
SGB_183 kSGB
SGB_184 kSGB
SGB_185 kSGB
SGB_186 kSGB
SGB_187 kSGB
SGB_188 kSGB
SGB_189 kSGB
SGB_190 kSGB
SGB_191 kSGB
SGB_192 kSGB
SGB_193 kSGB
SGB_194 kSGB
SGB_195 kSGB
SGB_196 kSGB
SGB_197 kSGB
SGB_198 kSGB
SGB_199 kSGB
SGB_200 kSGB
SGB_201 kSGB
SGB_202 kSGB
SGB_203 kSGB
SGB_204 kSGB
SGB_205 kSGB
SGB_206 kSGB
SGB_207 kSGB
SGB_208 kSGB
