Run_id	Country	site
ERR2764790	Germany	saliva
ERR2764791	Germany	saliva
ERR2764792	Germany	saliva
ERR2764793	Germany	saliva
ERR2764794	Germany	saliva
ERR2764795	Germany	saliva
ERR2764796	Germany	saliva
ERR2764797	Germany	saliva
ERR2764798	Germany	saliva
ERR2764799	Germany	saliva
ERR2764800	Germany	saliva
ERR2764801	Germany	saliva
ERR2764802	Germany	saliva
ERR2764803	Germany	saliva
ERR2764804	Germany	saliva
ERR2764805	Germany	saliva
ERR2764806	Germany	saliva
ERR2764807	Germany	saliva
ERR2764808	Germany	saliva
ERR2764809	Germany	saliva
ERR2764810	Germany	saliva
ERR2764811	Germany	saliva
ERR2764812	Germany	saliva
ERR2764813	Germany	saliva
ERR2764814	Germany	saliva
ERR2764815	Germany	saliva
ERR2764816	Germany	saliva
ERR2764817	Germany	saliva
ERR2764818	Germany	saliva
ERR2764819	Germany	saliva
ERR2764820	Germany	saliva
ERR2764821	Germany	saliva
ERR2764822	Germany	saliva
ERR2764823	Germany	saliva
ERR2764824	Germany	saliva
ERR2764825	Germany	saliva
ERR2764826	Germany	saliva
ERR2764827	Germany	saliva
ERR2764828	Germany	saliva
ERR2764829	Germany	saliva
ERR2764830	Germany	saliva
ERR2764831	Germany	saliva
ERR2764832	Germany	saliva
ERR2764833	Germany	saliva
ERR2764834	Germany	saliva
ERR2764835	Germany	saliva
ERR2764836	Germany	saliva
ERR2764837	Germany	saliva
ERR2764838	Germany	saliva
ERR2764839	Germany	saliva
ERR2764840	Germany	saliva
ERR2764841	Germany	saliva
ERR2764842	France	saliva
ERR2764843	France	saliva
ERR2764844	France	saliva
ERR2764845	France	saliva
ERR2764846	France	saliva
ERR2764847	France	saliva
ERR2764848	France	saliva
ERR2764849	France	saliva
ERR2764850	France	saliva
ERR2764851	France	saliva
ERR2764852	France	saliva
ERR2764853	France	saliva
ERR2764854	France	saliva
ERR2764855	France	saliva
ERR2764856	France	saliva
ERR2764857	France	saliva
ERR2764858	France	saliva
ERR2764859	France	saliva
ERR2764860	France	saliva
ERR2764861	France	saliva
ERR2764862	France	saliva
ERR2764863	France	saliva
ERR2764864	France	saliva
ERR2764865	France	saliva
ERR2764866	France	saliva
ERR2764867	France	saliva
ERR2764868	France	saliva
ERR2764869	France	saliva
ERR2764870	France	saliva
ERR2764871	France	saliva
ERR2764872	France	saliva
ERR2764873	France	saliva
ERR2764874	France	saliva
ERR2764875	France	saliva
ERR2764876	France	saliva
ERR2764877	France	saliva
ERR2764878	France	saliva
ERR2764879	France	saliva
ERR2764880	France	saliva
ERR2764881	France	saliva
ERR2764882	France	saliva
ERR2764883	France	saliva
ERR2764884	France	saliva
ERR2764885	France	saliva
ERR2764886	France	saliva
ERR2764887	France	saliva
ERR2764888	France	saliva
ERR2764889	France	saliva
ERR2764890	France	saliva
ERR2764891	France	saliva
ERR2764892	France	saliva
ERR2764893	France	saliva
ERR2764894	France	saliva
ERR2764895	France	saliva
ERR2764896	France	saliva
ERR2764897	France	saliva
ERR2764898	France	saliva
ERR2764899	France	saliva
ERR2764900	France	saliva
ERR2764901	France	saliva
ERR2764902	France	saliva
ERR2764903	France	saliva
ERR2764904	France	saliva
ERR2764905	France	saliva
ERR2764906	France	saliva
ERR2764907	France	saliva
ERR2764908	France	saliva
ERR2764909	France	saliva
ERR2764910	France	saliva
ERR2764911	France	saliva
ERR2764912	France	saliva
ERR2764913	France	saliva
ERR2764914	France	saliva
ERR2764915	France	saliva
ERR2764916	France	saliva
ERR2764917	France	saliva
ERR2764918	France	saliva
ERR2764919	France	saliva
ERR2764920	France	saliva
ERR2764921	France	saliva
ERR2764922	France	saliva
ERR2764923	France	saliva
ERR2764924	France	saliva
ERR2764925	France	saliva
ERR2764926	France	saliva
ERR2764927	France	saliva
ERR2764928	France	saliva
ERR2764929	France	saliva
ERR2764930	France	saliva
ERR2764931	France	saliva
ERR2764932	France	saliva
ERR2764933	France	saliva
ERR2764934	France	saliva
ERR2764935	France	saliva
ERR2764936	France	saliva
ERR2764937	France	saliva
ERR2764938	France	saliva
ERR2764939	France	saliva
ERR2764940	France	saliva
ERR2764941	France	saliva
ERR2764942	France	saliva
ERR2764943	France	saliva
ERR2764944	France	saliva
ERR2764945	France	saliva
ERR2764946	France	saliva
ERR2764947	France	saliva
ERR2764948	France	saliva
ERR2764949	France	saliva
ERR2764950	France	saliva
ERR2764951	France	saliva
ERR2764952	France	saliva
ERR2764953	France	saliva
ERR2764954	France	saliva
ERR2764955	France	saliva
ERR2764956	France	saliva
ERR2764957	France	saliva
ERR2764958	France	saliva
ERR2764959	France	saliva
ERR2764960	France	saliva
ERR2764961	France	saliva
ERR2764962	France	saliva
ERR2764963	France	saliva
ERR2764964	France	saliva
ERR2764965	France	saliva
ERR2764966	France	saliva
ERR2764967	France	saliva
ERR2764968	France	saliva
ERR2764969	France	saliva
ERR2764970	France	saliva
ERR2764971	France	saliva
ERR2764972	France	saliva
ERR2764973	France	saliva
ERR2764974	France	saliva
ERR2764975	France	saliva
ERR2764976	France	saliva
ERR2764977	France	saliva
ERR2764978	France	saliva
ERR2764979	France	saliva
ERR2764980	France	saliva
ERR2764981	France	saliva
ERR2764982	France	saliva
ERR2764983	France	saliva
ERR2764984	France	saliva
ERR2764985	France	saliva
ERR2764986	France	saliva
ERR2764987	France	saliva
ERR2764988	France	saliva
ERR2764989	France	saliva
ERR2764990	France	saliva
ERR2764991	France	saliva
ERR2764992	France	saliva
ERR2764993	France	saliva
ERR2764994	France	saliva
ERR2764995	France	saliva
ERR2764996	France	saliva
ERR2764997	France	saliva
ERR2764998	France	saliva
ERR2764999	France	saliva
ERR2765000	France	saliva
ERR2765001	France	saliva
ERR2765002	France	saliva
ERR2765003	France	saliva
ERR2765004	France	saliva
ERR2765005	France	saliva
ERR2765006	France	saliva
ERR2765007	France	saliva
ERR2765008	France	saliva
ERR2765009	France	saliva
ERR2765010	France	saliva
ERR2765011	France	saliva
SRR8114009	Luxembourg	saliva
SRR8114010	Luxembourg	saliva
SRR8114011	Luxembourg	saliva
SRR8114012	Luxembourg	saliva
SRR8114013	Luxembourg	saliva
SRR8114014	Luxembourg	saliva
SRR8114015	Luxembourg	saliva
SRR8114016	Luxembourg	saliva
SRR8114017	Luxembourg	saliva
SRR8114018	Luxembourg	saliva
SRR8114019	Luxembourg	saliva
SRR8114020	Luxembourg	saliva
SRR8114021	Luxembourg	saliva
SRR8114022	Luxembourg	saliva
SRR8114023	Luxembourg	saliva
SRR8114024	Luxembourg	saliva
SRR8114029	Luxembourg	saliva
SRR8114030	Luxembourg	saliva
SRR8114031	Luxembourg	saliva
SRR8114032	Luxembourg	saliva
SRR8114033	Luxembourg	saliva
SRR8114034	Luxembourg	saliva
SRR8114035	Luxembourg	saliva
SRR8114036	Luxembourg	saliva
SRR8114037	Luxembourg	saliva
SRR8114038	Luxembourg	saliva
