Study	sample_id	rmhost_base	rmhost_Gbase
Yunnan	YS000001	1455243427	1.46
Yunnan	YS000458	1241062106	1.24
Yunnan	YS000296	527709164	0.53
Yunnan	YS000539	488509641	0.49
Yunnan	YS000377	129247063	0.13
Yunnan	YS000692	296109823	0.3
Yunnan	YS000935	985506812	0.99
Yunnan	YS000656	221603505	0.22
Yunnan	YS000890	3748694217	3.75
Yunnan	YS000971	458355379	0.46
Yunnan	YS000179	848491852	0.85
Yunnan	YS000476	901421350	0.9
Yunnan	YS000557	212397466	0.21
Yunnan	YS000395	1804952938	1.8
Yunnan	YS000674	329300241	0.33
Yunnan	YS000593	1130540807	1.13
Yunnan	YS000917	1629671202	1.63
Yunnan	YS000755	773195484	0.77
Yunnan	YS000278	431223117	0.43
Yunnan	YS000629	742979454	0.74
Yunnan	YS000467	967897210	0.97
Yunnan	YS000386	2624551846	2.62
Yunnan	YS000548	1334826610	1.33
Yunnan	YS000665	210749593	0.21
Yunnan	YS000746	1799154591	1.8
Yunnan	YS000584	529161382	0.53
Yunnan	YS000980	142761812	0.14
Yunnan	YS000269	433526190	0.43
Yunnan	YS000485	908262942	0.91
Yunnan	YS000728	1853563850	1.85
Yunnan	YS000683	963821900	0.96
Yunnan	YS000926	1634016644	1.63
Yunnan	YS000368	409844808	0.41
Yunnan	YS000449	502707283	0.5
Yunnan	YS000531	3530908741	3.53
Yunnan	YS000612	1878748582	1.88
Yunnan	YS000450	1932038325	1.93
Yunnan	YS000135	1394627304	1.39
Yunnan	YS001026	200786661	0.2
Yunnan	YS000216	1424823062	1.42
Yunnan	YS000171	917869714	0.92
Yunnan	YS000333	120210742	0.12
Yunnan	YS000252	129995322	0.13
Yunnan	YS000414	1274062139	1.27
Yunnan	YS000630	1964699622	1.96
Yunnan	YS000153	990504508	0.99
Yunnan	YS001044	99713626	0.1
Yunnan	YS000315	373601167	0.37
Yunnan	YS000234	2451575194	2.45
Yunnan	YS000036	487635356	0.49
Yunnan	YS000513	1803392177	1.8
Yunnan	YS000351	1206428873	1.21
Yunnan	YS000270	2751073213	2.75
Yunnan	YS001161	170794646	0.17
Yunnan	YS000432	1176354162	1.18
Yunnan	YS000540	548811764	0.55
Yunnan	YS000621	176275634	0.18
Yunnan	YS001035	1183762235	1.18
Yunnan	YS000306	1322340118	1.32
Yunnan	YS000144	717771497	0.72
Yunnan	YS000063	1188810248	1.19
Yunnan	YS000225	2032631942	2.03
Yunnan	YS000027	637196049	0.64
Yunnan	YS000900	1764914869	1.76
Yunnan	YS000342	353202297	0.35
Yunnan	YS000423	917100775	0.92
Yunnan	YS001152	553292450	0.55
Yunnan	YS000261	951316717	0.95
Yunnan	YS000324	986523651	0.99
Yunnan	YS000162	832665091	0.83
Yunnan	YS000081	550377938	0.55
Yunnan	YS000405	2071655831	2.07
Yunnan	YS001134	1837061186	1.84
Yunnan	YS000243	1630188940	1.63
Yunnan	YS000126	1593633240	1.59
Yunnan	YS000045	443964220	0.44
Yunnan	YS000207	2788907373	2.79
Yunnan	YS000360	1184563969	1.18
Yunnan	YS000522	2181367628	2.18
Yunnan	YS000441	581040723	0.58
Yunnan	YS000603	323122099	0.32
Yunnan	YS000988	655009685	0.66
Yunnan	YS001022	327597984	0.33
Yunnan	YS000131	1611094426	1.61
Yunnan	YS001103	631036456	0.63
Yunnan	YS000050	365328217	0.37
Yunnan	YS000212	2226381767	2.23
Yunnan	YS000410	1750635941	1.75
Yunnan	YS000014	681914363	0.68
Yunnan	YS000311	792013148	0.79
Yunnan	YS001040	179921427	0.18
Yunnan	YS001121	868097676	0.87
Yunnan	YS001004	979941229	0.98
Yunnan	YS000302	821795141	0.82
Yunnan	YS000221	2027419221	2.03
Yunnan	YS000023	207565546	0.21
Yunnan	YS000320	1798745212	1.8
Yunnan	YS001130	1593583358	1.59
Yunnan	YS000401	119320922	0.12
Yunnan	YS000005	211661842	0.21
Yunnan	YS000203	801645489	0.8
Yunnan	YS000122	518824930	0.52
Yunnan	YS000939	1531822864	1.53
Yunnan	YS000894	2230928811	2.23
Yunnan	YS000975	726620155	0.73
Yunnan	YS000399	610263565	0.61
Yunnan	YS000993	497897570	0.5
Yunnan	YS000678	838276863	0.84
Yunnan	YS000759	2399636678	2.4
Yunnan	YS000597	394649258	0.39
Yunnan	YS000948	861665072	0.86
Yunnan	YS000984	171029882	0.17
Yunnan	YS000588	580037800	0.58
Yunnan	YS000885	464767841	0.46
Yunnan	YS000489	460522120	0.46
Yunnan	YS000687	700974396	0.7
Yunnan	YS000931	981024446	0.98
Yunnan	YS000058	169454061	0.17
Yunnan	YS000373	1311231536	1.31
Yunnan	YS000535	2214599384	2.21
Yunnan	YS000454	131573620	0.13
Yunnan	YS000292	781144568	0.78
Yunnan	YS000616	1980738724	1.98
Yunnan	YS001066	1628791820	1.63
Yunnan	YS000337	411319657	0.41
Yunnan	YS000418	1327475078	1.33
Yunnan	YS000256	367318268	0.37
Yunnan	YS000733	1416089902	1.42
Yunnan	YS000652	1392320424	1.39
Yunnan	YS000319	1702129284	1.7
Yunnan	YS001048	1068911167	1.07
Yunnan	YS000157	1927664191	1.93
Yunnan	YS001129	1030541780	1.03
Yunnan	YS000076	866616711	0.87
Yunnan	YS000391	1083807294	1.08
Yunnan	YS000553	506555320	0.51
Yunnan	YS000472	2007131882	2.01
Yunnan	YS000517	174413247	0.17
Yunnan	YS000436	634575714	0.63
Yunnan	YS000274	2219646411	2.22
Yunnan	YS000751	266101446	0.27
Yunnan	YS000913	1877025564	1.88
Yunnan	YS000670	696794940	0.7
Yunnan	YS000940	527864726	0.53
Yunnan	YS000148	248950347	0.25
Yunnan	YS000229	623225708	0.62
Yunnan	YS000544	1735647547	1.74
Yunnan	YS000382	2204968698	2.2
Yunnan	YS000625	1848395610	1.85
Yunnan	YS000463	574127372	0.57
Yunnan	YS001075	936804222	0.94
Yunnan	YS000346	302345605	0.3
Yunnan	YS000265	299435301	0.3
Yunnan	YS001156	1566652078	1.57
Yunnan	YS000427	1103941315	1.1
Yunnan	YS000904	1281535070	1.28
Yunnan	YS000742	394285055	0.39
Yunnan	YS000661	229163768	0.23
Yunnan	YS000166	1974792728	1.97
Yunnan	YS000328	740301267	0.74
Yunnan	YS000409	340387120	0.34
Yunnan	YS000724	1806309365	1.81
Yunnan	YS000481	1057035461	1.06
Yunnan	YS000526	197679869	0.2
Yunnan	YS000364	1851065837	1.85
Yunnan	YS001093	236118438	0.24
Yunnan	YS000607	890294419	0.89
Yunnan	YS000445	1324088472	1.32
Yunnan	YS000049	551571924	0.55
Yunnan	YS000922	1181864445	1.18
Yunnan	YS000012	1075592516	1.08
Yunnan	YS001020	657111029	0.66
Yunnan	YS000210	1343082126	1.34
Yunnan	YS001002	828889155	0.83
Yunnan	YS000030	130975253	0.13
Yunnan	YS000021	1568266312	1.57
Yunnan	YS000300	920157895	0.92
Yunnan	YS000201	2288999202	2.29
Yunnan	YS000003	610573151	0.61
Yunnan	YS000739	2552447474	2.55
Yunnan	YS000658	323252597	0.32
Yunnan	YS000379	884368828	0.88
Yunnan	YS000298	2959215030	2.96
Yunnan	YS000937	334796224	0.33
Yunnan	YS000694	417353039	0.42
Yunnan	YS000676	507969089	0.51
Yunnan	YS000559	411282260	0.41
Yunnan	YS000397	1429177862	1.43
Yunnan	YS000478	896117294	0.9
Yunnan	YS000586	1104266726	1.1
Yunnan	YS000667	1719506048	1.72
Yunnan	YS000388	373069395	0.37
Yunnan	YS000946	278104315	0.28
Yunnan	YS000289	245829137	0.25
Yunnan	YS000928	1019349635	1.02
Yunnan	YS000685	619536067	0.62
Yunnan	YS000487	2949358802	2.95
Yunnan	YS000883	1237384459	1.24
Yunnan	YS000254	1275918562	1.28
Yunnan	YS000416	803067944	0.8
Yunnan	YS000335	165286404	0.17
Yunnan	YS001064	507697666	0.51
Yunnan	YS000173	712126236	0.71
Yunnan	YS000731	449600708	0.45
Yunnan	YS000290	732281896	0.73
Yunnan	YS000452	198326744	0.2
Yunnan	YS000371	1157882006	1.16
Yunnan	YS000533	1188488651	1.19
Yunnan	YS000218	1777218726	1.78
Yunnan	YS000056	763578910	0.76
Yunnan	YS000137	864105384	0.86
Yunnan	YS000272	1103650260	1.1
Yunnan	YS001163	366562452	0.37
Yunnan	YS000434	741774607	0.74
Yunnan	YS000515	1056946417	1.06
Yunnan	YS000038	379941327	0.38
Yunnan	YS000119	1195196732	1.2
Yunnan	YS000911	229317874	0.23
Yunnan	YS000632	1711870402	1.71
Yunnan	YS000470	2142677371	2.14
Yunnan	YS000551	1636045251	1.64
Yunnan	YS000236	2405043697	2.41
Yunnan	YS001127	1037884855	1.04
Yunnan	YS000317	1049326249	1.05
Yunnan	YS000155	116656136	0.12
Yunnan	YS001154	347164193	0.35
Yunnan	YS000425	1490264853	1.49
Yunnan	YS000263	451391136	0.45
Yunnan	YS001073	714311501	0.71
Yunnan	YS000344	255513691	0.26
Yunnan	YS000029	1246863955	1.25
Yunnan	YS000902	553004953	0.55
Yunnan	YS000740	1188772791	1.19
Yunnan	YS000461	167661125	0.17
Yunnan	YS000623	1206952730	1.21
Yunnan	YS000542	482679169	0.48
Yunnan	YS000380	218664576	0.22
Yunnan	YS000065	1748388263	1.75
Yunnan	YS000227	2220599169	2.22
Yunnan	YS000146	142316244	0.14
Yunnan	YS001037	120278505	0.12
Yunnan	YS000308	1743819098	1.74
Yunnan	YS000443	347891127	0.35
Yunnan	YS000605	666168896	0.67
Yunnan	YS000281	2382964647	2.38
Yunnan	YS000524	292846520	0.29
Yunnan	YS000362	659406624	0.66
Yunnan	YS001091	393173484	0.39
Yunnan	YS000209	2158796234	2.16
Yunnan	YS000128	861694086	0.86
Yunnan	YS000560	306771373	0.31
Yunnan	YS000722	1139981696	1.14
Yunnan	YS000407	898877041	0.9
Yunnan	YS001136	883817917	0.88
Yunnan	YS000164	1596400600	1.6
Yunnan	YS000016	405861165	0.41
Yunnan	YS000412	1195291952	1.2
Yunnan	YS000331	409274797	0.41
Yunnan	YS001060	601625047	0.6
Yunnan	YS000052	672945562	0.67
Yunnan	YS001105	409287473	0.41
Yunnan	YS000214	2096428679	2.1
Yunnan	YS000133	774753887	0.77
Yunnan	YS000610	149313878	0.15
Yunnan	YS000034	1108754444	1.11
Yunnan	YS001006	1064416687	1.06
Yunnan	YS000511	324964794	0.32
Yunnan	YS001123	847562306	0.85
Yunnan	YS000232	220793032	0.22
Yunnan	YS000151	2070873490	2.07
Yunnan	YS000313	451596400	0.45
Yunnan	YS000025	847988869	0.85
Yunnan	YS000421	2431373756	2.43
Yunnan	YS000304	880417540	0.88
Yunnan	YS001033	629471079	0.63
Yunnan	YS000142	849639851	0.85
Yunnan	YS000205	2205899262	2.21
Yunnan	YS000124	838564148	0.84
Yunnan	YS000601	558532683	0.56
Yunnan	YS000520	1232071407	1.23
Yunnan	YS000241	768262615	0.77
Yunnan	YS001132	1208775083	1.21
