sample_id	COG_id	gene_num
RSZYD18187603_A_saliva.metaspades.bin.2	L	55
RSZYD18187603_A_saliva.metaspades.bin.2	H	14
RSZYD18187603_A_saliva.metaspades.bin.2	K	20
RSZYD18187603_A_saliva.metaspades.bin.2	J	134
RSZYD18187603_A_saliva.metaspades.bin.2	F	30
RSZYD18187603_A_saliva.metaspades.bin.2	G	15
RSZYD18187603_A_saliva.metaspades.bin.2	D	14
RSZYD18187603_A_saliva.metaspades.bin.2	S	59
RSZYD18187603_A_saliva.metaspades.bin.2	P	28
RSZYD18187603_A_saliva.metaspades.bin.2	U	8
RSZYD18187603_A_saliva.metaspades.bin.2	V	9
RSZYD18187603_A_saliva.metaspades.bin.2	C	14
RSZYD18187603_A_saliva.metaspades.bin.2	E	18
RSZYD18187603_A_saliva.metaspades.bin.2	M	5
RSZYD18187603_A_saliva.metaspades.bin.2	O	18
RSZYD18187603_A_saliva.metaspades.bin.2	I	14
RSZYD18187603_A_saliva.metaspades.bin.2	Q	4
RSZYD18187603_A_saliva.metaspades.bin.2	T	6
RSZYD18187603_A_saliva.metaspades.bin.2	N	3
RSZYD18187603_A_saliva.metaspades.bin.2	nohit	154
RSZYD18078715_A_saliva.metaspades.bin.28	S	47
RSZYD18078715_A_saliva.metaspades.bin.28	I	12
RSZYD18078715_A_saliva.metaspades.bin.28	Q	3
RSZYD18078715_A_saliva.metaspades.bin.28	J	114
RSZYD18078715_A_saliva.metaspades.bin.28	E	19
RSZYD18078715_A_saliva.metaspades.bin.28	K	19
RSZYD18078715_A_saliva.metaspades.bin.28	F	25
RSZYD18078715_A_saliva.metaspades.bin.28	U	6
RSZYD18078715_A_saliva.metaspades.bin.28	L	52
RSZYD18078715_A_saliva.metaspades.bin.28	G	14
RSZYD18078715_A_saliva.metaspades.bin.28	C	11
RSZYD18078715_A_saliva.metaspades.bin.28	V	9
RSZYD18078715_A_saliva.metaspades.bin.28	P	31
RSZYD18078715_A_saliva.metaspades.bin.28	N	3
RSZYD18078715_A_saliva.metaspades.bin.28	T	6
RSZYD18078715_A_saliva.metaspades.bin.28	D	7
RSZYD18078715_A_saliva.metaspades.bin.28	O	11
RSZYD18078715_A_saliva.metaspades.bin.28	H	14
RSZYD18078715_A_saliva.metaspades.bin.28	M	8
RSZYD18078715_A_saliva.metaspades.bin.28	nohit	152
RSZYD18187495_A_saliva.metaspades.bin.13	J	140
RSZYD18187495_A_saliva.metaspades.bin.13	S	69
RSZYD18187495_A_saliva.metaspades.bin.13	V	13
RSZYD18187495_A_saliva.metaspades.bin.13	C	16
RSZYD18187495_A_saliva.metaspades.bin.13	L	64
RSZYD18187495_A_saliva.metaspades.bin.13	F	27
RSZYD18187495_A_saliva.metaspades.bin.13	G	18
RSZYD18187495_A_saliva.metaspades.bin.13	I	17
RSZYD18187495_A_saliva.metaspades.bin.13	E	21
