	mgs_1001	mgs_2141	mgs_1640	mgs_1776	mgs_1516	mgs_1490	mgs_2021	mgs_1788	mgs_2790	mgs_2766	mgs_2064
mgs_1001	0.02089519036120316	0.003098759966702343	0.009673929170017767	0.003362066389893577	0.004737919414235629	0.013901826101479053	0.001624299331322283	0.0015108203432178105	0.0010699424438443445	0.001233971295149976	0.0008135830550362784
mgs_2141	0.003098759966702343	nan	0.005654931554323051	nan	nan	0.014061481116001355	nan	nan	nan	nan	nan
mgs_1640	0.009673929170017767	0.005654931554323051	0.03315901939576343	0.001023506432821867	0.004267745402185856	0.003639386448454709	0.01235121165567191	0.0029855519130276855	0.0008986072491613689	0.0018208967339691606	0.002341205381256728
mgs_1776	0.003362066389893577	nan	0.001023506432821867	nan	nan	0.004231333036308546	nan	nan	nan	nan	nan
mgs_1516	0.004737919414235629	nan	0.004267745402185856	nan	nan	0.0022212297562879844	nan	nan	nan	nan	nan
mgs_1490	0.013901826101479053	0.014061481116001355	0.003639386448454709	0.004231333036308546	0.0022212297562879844	0.041412367339042674	0.010203673181127661	0.008818795870819764	0.0015785285010236846	0.0009212563769385491	0.0037632264836155657
mgs_2021	0.001624299331322283	nan	0.01235121165567191	nan	nan	0.010203673181127661	nan	nan	nan	nan	nan
mgs_1788	0.0015108203432178105	nan	0.0029855519130276855	nan	nan	0.008818795870819764	nan	nan	nan	nan	nan
mgs_2790	0.0010699424438443445	nan	0.0008986072491613689	nan	nan	0.0015785285010236846	nan	nan	nan	nan	nan
mgs_2766	0.001233971295149976	nan	0.0018208967339691606	nan	nan	0.0009212563769385491	nan	nan	nan	nan	nan
mgs_2064	0.0008135830550362784	nan	0.002341205381256728	nan	nan	0.0037632264836155657	nan	nan	nan	nan	nan
