	mgs_1001	mgs_2141	mgs_1640	mgs_1776	mgs_1516	mgs_1490	mgs_2021	mgs_1788	mgs_2790	mgs_2766	mgs_2064
mgs_1001	0.031109700485186426	0.0113464939375941	0.021773330356444676	0.016316679905944168	0.01902936658727158	0.021004942885336015	0.016247329011109663	0.01694625166922136	0.015938060985389826	0.019493435549786244	0.01277068687959935
mgs_2141	0.0113464939375941	nan	0.002724138615838148	nan	nan	0.004512772346692747	nan	nan	nan	nan	nan
mgs_1640	0.021773330356444676	0.002724138615838148	0.04779002259138832	0.02327439694039029	0.011721552154973416	0.01492066301411382	0.017452410837169762	0.013340420134151092	0.0019009625163745297	0.006826416464643633	0.003605715798133222
mgs_1776	0.016316679905944168	nan	0.02327439694039029	nan	nan	0.013678504847978444	nan	nan	nan	nan	nan
mgs_1516	0.01902936658727158	nan	0.011721552154973416	nan	nan	0.0348548855497773	nan	nan	nan	nan	nan
mgs_1490	0.02100494288533601	0.004512772346692747	0.014920663014113822	0.013678504847978444	0.0348548855497773	0.0656065946944124	0.012645509216751153	0.005739629751555305	0.004824719658971829	0.00030004396629712966	0.002940102005971553
mgs_2021	0.016247329011109663	nan	0.017452410837169762	nan	nan	0.012645509216751153	nan	nan	nan	nan	nan
mgs_1788	0.01694625166922136	nan	0.013340420134151092	nan	nan	0.005739629751555305	nan	nan	nan	nan	nan
mgs_2790	0.015938060985389826	nan	0.0019009625163745297	nan	nan	0.004824719658971829	nan	nan	nan	nan	nan
mgs_2766	0.019493435549786244	nan	0.006826416464643633	nan	nan	0.00030004396629712966	nan	nan	nan	nan	nan
mgs_2064	0.01277068687959935	nan	0.003605715798133222	nan	nan	0.002940102005971553	nan	nan	nan	nan	nan
