	mgs_1001	mgs_2141	mgs_1640	mgs_1776	mgs_1516	mgs_1490	mgs_2021	mgs_1788	mgs_2790	mgs_2766	mgs_2064
mgs_1001	0.9406416604161444	0.7301781987240342	0.9080383613688037	0.8240981848797633	0.9187005751988233	0.8891376340450327	0.8578852062336659	0.8495875477499638	0.8468458124387545	0.8094823239559743	0.75237583844609
mgs_2141	0.7301781987240342	1.0	0.7166486269282404	0.6835707539718188	0.7308490145255992	0.7128942026706879	0.7001747544771509	0.6925411542358633	0.7005395260771594	0.650660662792184	0.6210462261535054
mgs_1640	0.9080383613688037	0.7166486269282404	0.9586126263884255	0.8306635175102617	0.9042506362955123	0.8937924850024384	0.8703052643000259	0.8389931894164426	0.8361080713134527	0.8043655679068253	0.7399167699486521
mgs_1776	0.8240981848797633	0.6835707539718188	0.8306635175102617	1.0	0.8111887832385891	0.8190559698747469	0.8237254658291349	0.7879371566481871	0.7830590925320843	0.7489607411768635	0.7054399364469122
mgs_1516	0.9187005751988233	0.7308490145255992	0.9042506362955123	0.8111887832385891	1.0	0.9081335560336172	0.8695535119140185	0.8636336567272577	0.8600074901348416	0.8259805591110305	0.7552177695582742
mgs_1490	0.8891376340450327	0.7128942026706879	0.8937924850024382	0.8190559698747469	0.9081335560336172	0.9431830223388495	0.8926188522276676	0.8584841521378133	0.8435729825964042	0.8145298183791849	0.7529031903655807
mgs_2021	0.8578852062336659	0.7001747544771509	0.8703052643000259	0.8237254658291349	0.8695535119140185	0.8926188522276676	1.0	0.8442742128171121	0.832725462073289	0.7821374071251738	0.7406471254806231
mgs_1788	0.8495875477499638	0.6925411542358633	0.8389931894164426	0.7879371566481871	0.8636336567272577	0.8584841521378133	0.8442742128171121	1.0	0.8177044585158857	0.7833096644234196	0.7306853328709593
mgs_2790	0.8468458124387545	0.7005395260771594	0.8361080713134527	0.7830590925320843	0.8600074901348416	0.8435729825964042	0.832725462073289	0.8177044585158857	1.0	0.785570679817404	0.7428591118293559
mgs_2766	0.8094823239559743	0.650660662792184	0.8043655679068253	0.7489607411768635	0.8259805591110305	0.8145298183791849	0.7821374071251738	0.7833096644234196	0.785570679817404	1.0	0.7680174597790677
mgs_2064	0.75237583844609	0.6210462261535054	0.7399167699486521	0.7054399364469122	0.7552177695582742	0.7529031903655807	0.7406471254806231	0.7306853328709593	0.7428591118293559	0.7680174597790677	1.0
